Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,1,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43497,7193,0,85.80982442,14.19017558,0,0.029813625,0.050227576,0.158693372,98.74665795,99.50943556,229383.4521,222965.3822,6418.06997,4.525220993,4.398606869,0.126614124,17537.78451,0.34598115,7.645618874,0,0,4.09E-05,2,0.999959103,48901,1,1787,0,0,0,-0.001200762,0.721001206,0.07379722,0.141901756,0.112510412,0.887489588,0.858098244,NaN,0.141901756,NaN,NaN,0.618870728,0.085908592,NaN,0.141901756,0.258,0.368,0.25,0.375,250,375,22355,3.51E+07,3906388,94.78003551,75.284213,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,2,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43333,7357,0,85.48628921,14.51371079,0,0.033740973,0.050213736,0.158618645,98.71956446,99.46270781,229381.3949,222494.0169,6887.378007,4.525180409,4.38930789,0.135872519,17682.93379,0.34884462,7.708966021,5.60E-04,1,0,0,1,48903,0.999440403,1786,1,5.60E-04,0.001118568,0.023235318,0.725339774,0.074431597,0.145137108,0.111922754,0.888077246,0.854862892,NaN,0.145137108,NaN,NaN,0.621607073,0.087166335,NaN,0.145137108,0.247,0.379,0.25,0.375,250,375,22355,3.51E+07,3906388,94.71296114,75.30921926,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,3,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456203,50690,43402,7288,0,85.62241073,14.37758927,0,0.032505096,0.050210785,0.158621864,98.71354072,99.46447499,229383.8499,222569.1926,6814.657279,4.525228839,4.390790937,0.134437903,17748.70322,0.350142103,7.737555729,0,0,2.04E-05,1,0.999979551,48901,1,1788,0,0,0,-8.49E-04,0.728455702,0.076213458,0.143775893,0.11176501,0.88823499,0.856224107,NaN,0.143775893,NaN,NaN,0.62222706,0.087270962,NaN,0.143775893,0.254,0.373,0.25,0.375,250,375,22355,3.51E+07,3906388,94.7484711,75.27872121,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,4,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43322,7367,0,85.46627473,14.53372527,0,0.033634475,0.050206983,0.158607302,98.70616795,99.45545955,229375.6971,222540.7311,6834.966061,4.525157275,4.390316066,0.134841209,17828.07808,0.35171493,7.772435488,5.59E-04,1,1.02E-04,5,0.999897753,48896,0.999440716,1787,0.166666667,5.59E-04,0.001114827,0.007749737,0.731073503,0.078014886,0.145337253,0.112297854,0.887702146,0.854662747,NaN,0.145337253,NaN,NaN,0.621405705,0.087319857,NaN,0.145337253,0.255,0.368,0.25,0.375,250,375,22355,3.51E+07,3906311,94.79571505,75.31625018,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,5,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43444,7245,0,85.70695812,14.29304188,0,0.031527892,0.050209106,0.158627673,98.71042801,99.46833153,229373.2563,222332.7764,7040.479936,4.525109122,4.386213505,0.138895617,17840.84414,0.351966781,7.778083821,0,0,0,0,1,48901,1,1788,NaN,0,NaN,NaN,0.728370038,0.073861581,0.142930419,0.111905708,0.888094292,0.857069581,NaN,0.142930419,NaN,NaN,0.622960765,0.086775256,NaN,0.142930419,0.257,0.377,0.265625,0.375,265.625,375,22355,3.51E+07,3906311,94.72074809,75.21345054,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,6,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43504,7185,0,85.82532699,14.17467301,0,0.030577342,0.050228097,0.158669976,98.74788569,99.49499654,229373.5674,222739.3792,6634.188233,4.52511526,4.394235025,0.130880235,17662.87351,0.34845575,7.700483414,0,0,0,0,1,48901,1,1788,NaN,0,NaN,NaN,0.725807219,0.075458356,0.14174673,0.111638212,0.888361788,0.85825327,NaN,0.14174673,NaN,NaN,0.619938444,0.086343627,NaN,0.14174673,0.251,0.385,0.25,0.375,250,375,22355,3.51E+07,3906311,94.91408392,75.28937725,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,7,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43514,7175,0,85.84505514,14.15494486,0,0.030258007,0.050214962,0.158639768,98.72202391,99.47600885,229374.6488,222531.7195,6842.929242,4.525136593,4.390138285,0.134998308,17762.0877,0.350413062,7.743701317,0,0,4.09E-05,2,0.999959102,48900,1,1787,0,0,0,-0.001200786,0.740916268,0.081299579,0.141549449,0.11179977,0.88820023,0.858450551,NaN,0.141549449,NaN,NaN,0.621385497,0.087194957,NaN,0.141549449,0.265,0.373,0.265625,0.375,265.625,375,22355,3.51E+07,3906311,94.80163349,75.24410915,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,8,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43492,7197,0,85.80165322,14.19834678,0,0.030713628,0.050220173,0.158666166,98.73224924,99.49253981,229376.1654,222815.9318,6560.233642,4.525166514,4.395745266,0.129421248,17699.85229,0.349185273,7.716517652,0,0,6.13E-05,3,0.999938653,48899,1,1787,0,0,0,-0.001470671,0.730100294,0.075472457,0.141983468,0.111716952,0.888283048,0.858016532,NaN,0.141983468,NaN,NaN,0.619308809,0.085961983,NaN,0.141983468,0.26,0.373,0.25,0.375,250,375,22355,3.51E+07,3906311,94.60435203,75.24170978,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,9,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43423,7266,0,85.66552901,14.33447099,0,0.031818324,0.050198237,0.158583427,98.68912853,99.44066571,229377.1127,222100.2433,7276.869378,4.525185202,4.381626059,0.143559143,17946.86094,0.354058296,7.824172487,0,0,4.09E-05,2,0.999959102,48900,1,1787,0,0,0,-0.001200786,0.733021535,0.077855214,0.14334471,0.112062235,0.887937765,0.85665529,NaN,0.14334471,NaN,NaN,0.624085442,0.087978104,NaN,0.14334471,0.258,0.368,0.25,0.359375,250,359.375,22355,3.51E+07,3906311,94.75428594,75.24389587,?
dataset_thema09-weka.filters.unsupervised.attribute.StringToNominal-Rlast,2,10,weka.classifiers.bayes.NaiveBayes,'',5.99523E+18,2.02E+07,456204,50689,43491,7198,0,85.7996804,14.2003196,0,0.030717755,0.050216909,0.158637183,98.7257205,99.47423941,229380.8234,222557.7496,6823.073874,4.525258408,4.390651809,0.134606599,17782.45365,0.350814844,7.752371528,0,0,2.04E-05,1,0.999979551,48901,1,1787,0,0,0,-8.49E-04,0.730523745,0.077683456,0.142003196,0.11180147,0.88819853,0.857996804,NaN,0.142003196,NaN,NaN,0.621610338,0.086988536,NaN,0.142003196,0.252,0.371,0.25,0.359375,250,359.375,22355,3.51E+07,3906311,94.89632859,75.29460254,?
