Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
dataset_thema09-weka,4,1,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46011,3678,0,72.74398785,27.25601215,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,2,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,46010,4679,0,72.74201503,27.25798497,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,3,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,4,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,5,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,6,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,7,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,8,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,9,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
dataset_thema09-weka,4,10,weka.classifiers.rules.SimpleLogistics,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08E+18,2.02E+07,456204,50689,47071,3618,0,92.86235672,7.137643276,0,0.013077436,0.050197129,0.223974578,98.68683265,140.44438,229380.8234,884907.8884,-655527.065,4.525258408,17.45759215,-12.93233374,9646.365081,0.1903049,4.205392995,0.053161724,95,0.034129483,1669,0.965870517,47233,0.946838276,1692,0.053854875,0.053161724,0.053506055,0.019151411,0.509389295,0.036251819,0.071376433,0.058072325,0.941927675,0.928623567,0.071328446,0.071376433,0.071347301,0.013316385,0.50667051,0.060138874,0.032733153,0.071376433,0.138,2704.603,0.140625,2695.546875,140.625,2695546.875,3.51E+07,3.51E+07,3906311,7.149480163,2.70835455,?,,,
